Наименование  	Фото  	Состав	Цена	Увлажнение	Питание	Восстановление	Поверхностная	Подходит для кудрявых волос	Есть ли в составе силиконы?	Производство	Комментарий (если средство было в пользовании у меня или у многих учениц)
Витарино  Бустер биолипидный 		Phospholipids, Fatty acid (Linolenic acid, Linoleic acid, Arachidonic acid), Ceramide, Tосоpherol	Высокая		+					РФ/СНГ	SOS-средство. Добавляется в любую маску (лучше без плёнок) у данной фирмы есть и другие бустеры, одобряю их тоже 
Хангри скин Маска для волос в стиках		 Pentaerythrityl Tetraethylhexanoate, Glycerin, Cetearyl Alcohol, Macadamia Integrifolia Seed Oil, Tocopherol, Phospholipids, Glycine Soja (Soybean) Oil, Glycolipids, Glycine Soja (Soybean) Sterols, Plukenetia Volubilis Seed Oil, Erythritol, Pentaerythrityl Tetraethylhexanoate, Cetearyl Olivate, Sorbitan Olivate, Glyceryl Stearate, Linoleic Acid, Oleic Acid, Palmitic Acid, Stearic Acid, Propylene Glycol, 1,2-Hexanediol, Hydroxyethylcellulose, Polysorbate 60, Disodium Phosphate, Sodium Phosphate, Butyrospermum Parkii (Shea) Butter, Sodium Hyaluronate, Aroma 	Средняя	+	+			+		РФ/СНГ	
Alga SPA Therapy Бальзам-кондиционер		Water, Chlorella supernatant liquid, Algae extract (Chlorella secretion aqua extract), Cetearyl Alcohol, Behentrimonium Methosulfate, Butyrospermum Parkii butter, Phospholipids, Glycine Soja (Soybean) Oil, Glycolipids, Glycine Soja (Soybean) Sterols, Semisqualane , Argania spinosa oil, Isopropylpalmitate , Bis-aminopropyl diglycol dimaleate, Hydroxyethylcellulose, Hydrolyzed Wheat Protein, Betaine, Hydrolyzed Soy Protein, Carbocysteine (and) Threonine (and) Serine (and) Glutamic Acid, Ascorbyl Tetraisopalmitate, Tocopherol, Beta-Sitosterol, Squalene, Dehydroacetic Acid, Benzil Alcohol, Lactic Acid, Aroma.		 +	+	+				РФ/СНГ	
Alma K  SHINE & GLOW CONDITIONER		Aqua (Water), Cetyl Alcohol, Aloe Barbadensis (Aloe Vera) Leaf Juice, Glycerin, Propylene Glycol, Caprylic/Capric Triglyceride, Juglans Regia (Walnut) Seed Oil, Glycine Soja (Soybean) Oil, Theobroma Cacao (Cocoa) Seed Butter, Isopropyl Myristate, Maris Aqua (Dead Sea Water), Argania Spinosa (Argan) Kernel Oil, Rosmarinus Officinalis (Rosemary) Extract, Panthenol (Provitamin B5), Tocopheryl Acetate (Vit. E), Tocopherol (Vit. E), Simmondsia Chinensis (Jojoba) Seed Extract, Olea Europaea (Olive) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, Calendula Officinalis (Pot Marigold) Flower Oil, Echinacea Purpurea (Purple Coneflower) Root Extract, Citrus Grandis (Grapefruit) Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Olive Oil Unsaponifiables, Hydrogenated Ethylhexyl Olivate, Phenoxyethanol, Parfum (Fragrance), Cetrimonium Chloride, Triethylene Glycol, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Benzyl Salicylate, Citronellol, Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Citric Acid.tic Acid.	Высокая 	 +	 +			 +		ЕС Израиль	Комплексная маска 
Aminoplazma Аминокислотная подложка		Aqua (Water), Hydrolyzed Keratin, Glutamic Acid, Glycol Distearate, Triticum Volgare (Wheat) GermOil, Hyaluronic Acid, Steareth- 100, Serine, Cetyl Alcohol, Methylpropanediol, Arginine. Proline, Beta-Glucan, Leucine, Behetrimonium Methosulfte, Stearyl Alcohol, Polyquaternium- 86. Camellia Sinensis (Tea) Leaf Extract, Hydrolyzed wheat Protein, Phenylalanine, Alanine, Cysteine, Aspartic Acid, Glycine, Valine, Threonine, Parfum (Fragrance), Lactic Acid, Panax Ginseng (Asan Ginseng) Root Extract, Tyrosine, Gink go Biloba (Ginkgo) leaf Extract, Histidine, Lysine, Methionine, Sodia Benzoate, Ceramide Np. Cholesterol, Ceramide Ap, Phytosphingosine, Tocopheryl Acetate, Cetrimonium Chloride, Edta. Maltodextrin, Methylchloroisothiazolinone And Methyusothiazolinone, Ceramide Eop.	Высокая	 +	+	+				Бразилия 	Очень сильный упор на восстановление, в составе протеины и аминокислоты 
Angel Professional  Argan Oil  Маска Моментальное восстановление с маслом Арганы		AQUA(WATER), Argana Spinosa Kernel Oil, Vitis Vinifera (Grape) Seed Oil, Glyceryl Stearates, Dimethicone/Silsesquioxane Copolymer, Polyoxyethylene Cetyl- Steryl Ether, Butyrosperum Parkii (Shea Butter) Oil, Opuntia Tuna Fruit Extract, Boswella Carterii Oil, Peg-4 Sorbitan Stearate, Cetrimonium Chloride, Hyaluronic Acid, Parfum, Hydroxypropyl Guar, Phenoxyethanol.	Высокая		+				+	ЕС	Глубокая липидная маска 
Angel Professional  Color Protect  Профессиональный кондиционер для защиты цвета окрашенных волос		Aqua (Water), Cetearyl Alcohol, Glycerin, Vitis Vinifera (Grape) Seed Oil, Cetyl Alcohol, Ceteareth-33, Hydroxypropyl Guar, Amodimethicone, Hydrolyzed Wheat Protein, Argania Spinosa Kernel Oil, Cetrimonium Chloride, Padin Pavonica Extract, Prunus Speciosa Leaf Extract, Keratin, Macadamia Ternifolia Seed Oil, Parfum/Fragrance, Citric Acid, Phenoxyethanol, Cl16255. 	Высокая	+	+	+			+	ЕС	силиконы легкие, кудрям можно пробовать, но только если нет проблем с завитком. Можно использовать и как маску.
Angel Professional  Dancoly Marula Oil  Маска для волос с маслом Марулы восстанавливающая и увлажняющая 		Aqua (Water), Cetearyl Alcohol, Vitis Vinifera (Grape) Seed Oil, Glycerin, Cetyl alcohol, Ceteareth-33, Marula Oil (Sclerocarya Birrea Seed Oil), Dimethicone/Silsesquioxane Copolymer, Hydroxypropyl Guar, Amodimethicone, Macadamia Ternifolia Seed Oil, Cetrimonium Chloride, Pelargonium Graveolens Extract, Parfum/Fragrance, Iris Florentina Root Extract, Phenoxyethanol, Citric Acid	Высокая	+	+				+	ЕС	От средства был выраженный увлажняющий эффект
Angel Professional  Water Element Nourishing  Cream Питательный крем для волос, маска для волос с коллагеном и экстрактом морских водорослей 		Aqua(Water), Citrate Alcohol, Dimethicone, Grape Seed Oil, Cetyl Trimethyl Ammonium Chloride, Cyclomethicone, Amodimethicone, Nmf (Natural Moisturizing Factor), Isopropil Myristate, Isopropil Palmate, Marine Collagen, Isostearyl Alcohol, D-panthenol, Fragrance, Hydroxypropylcellulose, Phenoxyethanol, Citric Acid, Cl19140( Fd&c Yellow No. 5), Ci 73360 (Fd&c Red No.30)	Высокая	+	+				+	ЕС	
Aravia  HYDRA KERATIN  SOS-маска 		Aqua, Cocos Nucifera Seed Butter, Cetearyl Alcohol, Cyclopentasiloxane, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Glycerin, Cetrimonium Chloride, Hydrolyzed Keratin, Phenoxyethanol, Ceteareth-20, Bis (C13-15 Alkoxy) PG-Amodimethicone, Dimethiconol, Parfum, Methylparaben, C14-15 Alcohols, BHT, Propylparaben, Citric Acid, Ethylparaben, Limonene, Isotridecyl Alcohol, Potassium Sorbate.	Средняя	+	+			+	+	РФ/СНГ	Комплексная маска, силиконы легкие,кудрям можно пробовать, но только если нет проблем с завитком
