Тип	Термозащита 	Доп функции	Уход  (увлажнение/ питание/ восстановление)	Наименование	Фото	Состав  (внимание! Составы взяты с сайтов маркетплейстов, при нахождении несоответсвия просьба сообщить)	Производство	Комментарий	ч
Несмываемая маска 	Нет		Питание Восстановление	 Жрец Красоты Маска №3 "Липопротеиновая"		Aqua (Вода), Pentylene Glycol (Пентиленгликоль), Myristyl Alcohol (Миристиловый спирт), Behentrimmonium Chloride (Бегентримониум Хлорид), Bis-aminopropyl diglycol dimaleate (Бис-аминопропил дигликоль дималеат, восстановитель дисульфидных связей), Hydrolyzed keratin (Гидролизованный кератин, низкомолекулярный кератин, пептиды кератина), Hydroxypropyl Gluconamide (and) Hydroxypropylammonium Gluconate (Гидроксипропил Глюконамид и Гидроксипропиламмония Глюконат, укрепитель водородных связей), Panthenyl Dibehenate/Oleate (Пантенил Дибегенат/Олеат, восстановитель 18-mea), Behentrimonium Methosulfate (and) C10-40 Isoalkylamidopropylethyldimonium Ethosulfate (Беентримониум Метосульфат и C10-40 Изоалкиламидопропилэтилдимониум Этосульфат, восстановитель 18-mea) (and) Cetyl Alcohol (и Цетиловый спирт), Behenamidopropyl Dimethylamine (Бегенамидопропил Диметиламин), Dipalmitoylethyl Hydroxyethylmonium Methosulfate (Дипальмитоилэтил Гидроксиэтилмониум Метосульфат), Cetyl Alcohol (Цетиловый спирт), Stearyl Alcohol (Стеариловый спирт), Amodimethicone (Амодиметикон), Centrimonium Chloride (Цетримониум Хлорид), Trideceth 12 (Тридецет-12), Polyquaternium 11 (Поликватерниум-11), EDTA (ЭДТА), Phenoxyethanol (and) Ethylhexylglycerin (Феноксиэтанол и Этилгексилглицерин), BHT (Антиоксдант), Parfum (Отдушка), Lactic Acid (Молочная кислота).	РФ/СНГ	 питание поверхностное, 18-mea можно кудряшкам 	Высокая
Спрей	Браш ●●	Пленки, разглаживание, защита от внешних факторов	Увлажнение Восстановление	Золотой Шелк Реанимация секущихся кончиков Керапластика Спрей для волос с гиалуроновой кислотой и коллагеном		Aqua (Water), Cyclopentasiloxane, Dimethiconol, Silicone Quaternium-18, Trideceth-6, Trideceth-12, Hydrolyzed Keratin, Glycerin, Soluble Collagen, Sodium Hyaluronate, PPG-3 Caprylyl Ether, Cetrimonium Chloride, Citric Acid, Parfum, Methylchloroisothiazolinone, Methylisothiazolinone. 	РФ/СНГ		Средняя
Спрей	Фен ●	Антистатик, пленки	Питание	Чистая Линия Natura  Экспресс-кондиционер спрей для волос восстановление и обьем с маслом ШИ		Aqua, Polyquaternium-16, PEG-40 Hydrogenated Castor Oil, Achillea Millefolium Extract, Chamomilla Recutita (Matricaria) Flower Extract, Chamomilla Recutita (Matricaria) Flower/Leaf Extract (экстракт ромашки), Chelidonium Majus Extract, Hypericum Perforatum Flower/Leaf/Stem Extract, Urtica Dioica (Nettle) Leaf Powder, Caprylic/Capric Triglyceride, Citric Acid, Diethylhexyl Syringylidenemalonate, Disodium EDTA, Glycerin, Panthenol, Pantolactone, Parfume, Phenoxyethanol, Sodium Benzoate, Hexyl Cinnamal, Linalool, CI 19140, CI 42090.	РФ/СНГ	Можно использовать кудряшкам	Средняя
Крем	Фен ●	Антистатик, пленки	Поверхностный уход Увлажнение	Alfaparf Milano  Blow Dry Cream  Разглаживающий крем 		aqua (water), cetearyl alcohol, behentrimonium chloride, cetyl dimethicone, propylene glycol, quaternium-80, polyquaternium-37, parfum (fragrance), phenoxyethanol, cetrimonium chloride, ethylhexylglycerin, isopropyl alcohol, guar hydroxypropyltrimonium chloride, glycerin, lactic acid, sodium cocoyl amino acids, hexyl cinnamal, linalool, potassium dimethicone peg-7 panthenyl phosphate, citral, moringa pterygosperma seed extract	ЕС	Для путающихся волос, кудряшкам не подойдет	Высокая
Масло	Нет	Питание длительного воздействия	Питание	Angel Professional Argan Oil Repair Oil Профессиональное аргановое масло моментальное восстановление, для сухих, поврежденных, окрашенных волос		Argan Spinosa Kernel Oil, CITRUS AURANTIUM AMARA (Bitter Orange) Flower Extract, Helianthus Annuus (Sunflower) Seed Oil, Opuntia TUNA Extract, Boswellia Carteril Oil, Parfum, Henoxyethano.	ЕС	Для любого типа волос, может подсушивать волосы	Высокая
Спрей	Фен ●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Angel Professional Hair Soften Spray 		Aqua (Water), Amodimethicone, Glycerin, Lanolin, Marine Collagen, Fragrance, Citric Acid, Phenoxyethanol, Hydroxyethylcellulose, Disodium EDTA	ЕС	Можно пробовать кудряшкам, если нет проблем с завитком	Высокая
Крем	Фен ●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Angel Professional  Color Protect Hydration Cream  Увлажняющий крем для окрашенных волос		Aqua, vitis vinifera (grape) seed oil, glycerin, cyclopentasiloxane, polyacrylamide, hydrolyzed wheat protein, argania spinosa kernel oil, padina pavonica extract, prunus speciosa leaf extract, keratin, macadamia ternifolia seed oil, parfum, phenoxyethanol	ЕС	Можно использовать кудряшкам	Высокая
Спрей	Фен ●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Angel Professional  Fantasy Party Goddess Spray "Божественный"  Несмываемый спрей-кондиционер для волос		Water, amodimethicone, glycerin, sunflower oil, propylene glycol, marine collagen, lanolin, lactic acid, vitamine e, hydroxyethlcellulose, fragrance, disodium edta, phenoxyethanol.	ЕС	Можно пробовать кудряшкам, если нет проблем с завитком	Высокая
Крем	Фен ●	Пленки	Питание	Angel Provence Helichrysum cream Увлажняющий крем для сухих и поврежденных волос несмываемый с экстрактом Бессмертника		helichrysum stoechas extract, aqua, cyclopentasiloxane, beeswax, ginkgo biloba leaf extract, helianthus annuus (sunflower) seed oil, vitis vinifera (grape) seed oil, polyacrylamide, allantoin, phenoxyethanol	ЕС	Для любого типа волос	Высокая
Крем	Фен ●	Антистатик, пленки, защита от внешних факторов	Увлажнение Питание	Aravia Professional  Hydra Gloss Cream  Крем-уход восстанавливающий для глубокого увлажнения сухих и обезвоженных волос		Aqua, Behenoyl PG-Trimonium Chloride, Stearamidopropyl Dimethylamine, Vitis vinifera (Grape) seed oil, Cetearyl Alcohol (and) Dipalmitoylethyl Hydroxyethylmonium Methosulfate (and) Ceteareth-20, Simmondsia chinensis (Jojoba) seed oil, Glycerin, Propylene Glycol, Bis (C 13-15 Alkoxy) PG-Amodimethicone, Betaine, Niacinamide, Polyquaternium-10, Pantothenic Acid, Perfume, Phenoxyethanol	РФ/СНГ	Можно использовать кудряшкам, если нет проблем с завитком	Средняя
